volcano_number;volcano_name;primary_volcano_type;last_eruption_year;country;region;subregion;latitude;longitude;elevation;tectonic_settings;evidence_category;major_rock_1;major_rock_2;major_rock_3;major_rock_4;major_rock_5;minor_rock_1;minor_rock_2;minor_rock_3;minor_rock_4;minor_rock_5;population_within_5_km;population_within_10_km;population_within_30_km;population_within_100_km
283001;Abu;shield;-6850;Japan;Japan, Taiwan, Marianas;Honshu;34.5;131.6;641;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Basalt / Picro-Basalt;Dacite; ; ; ; ; ; ;NA;3597;9594;117805;4071152
355096;Acamarachi;stratovolcano;Unknown;Chile;South America;Northern Chile, Bolivia and Argentina;-23.292;-67.618;6023;Subduction zone / Continental crust (>25 km);Evidence Credible;Dacite;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;0;7;294;9092
342080;Acatenango;stratovolcano;1972;Guatemala;México and Central America;Guatemala;14.501;-90.876;3976;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ;Basalt / Picro-Basalt; ; ; ;NA;4329;60730;1042836;7634778
213004;Acigol-Nevsehir;caldera;-2080;Turkey;Mediterranean and Western Asia;Turkey;38.537;34.621;1683;Intraplate / Continental crust (>25 km);Eruption Dated;Rhyolite;Dacite;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ;NA;127863;127863;218469;2253483
321040;Adams;stratovolcano;950;United States;Canada and Western USA;USA (Washington);46.206;-121.49;3742;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ;Dacite; ; ; ;NA;0;70;4019;393303
283170;Adatarayama;stratovolcano;1996;Japan;Japan, Taiwan, Marianas;Honshu;37.647;140.281;1728;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ;Dacite;Basalt / Picro-Basalt; ; ;NA;428;3936;717078;5024654
221170;Adwa;stratovolcano;Unknown;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;10.07;40.84;1733;Rift zone / Intermediate crust (15-25 km);Evidence Credible;Rhyolite;Basalt / Picro-Basalt;Trachyte / Trachydacite; ; ; ; ; ; ;NA;101;485;18645;1242922
221110;Afdera;stratovolcano;Unknown;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;13.088;40.853;1250;Rift zone / Intermediate crust (15-25 km);Evidence Uncertain;Rhyolite; ; ; ; ;Basalt / Picro-Basalt;Trachybasalt / Tephrite Basanite;Andesite / Basaltic Andesite; ;NA;51;6042;8611;161009
284160;Agrigan;stratovolcano;1917;United States;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;18.77;145.67;965;Subduction zone / Crustal thickness unknown;Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;0;0;0;0
342100;Agua;stratovolcano;Unknown;Guatemala;México and Central America;Guatemala;14.465;-90.743;3760;Subduction zone / Continental crust (>25 km);Evidence Credible;Andesite / Basaltic Andesite; ; ; ; ;Dacite; ; ; ;NA;9890;114404;2530449;7441660
382090;Agua de Pau;stratovolcano;1564;Portugal;Atlantic Ocean;Azores;37.77;-25.47;947;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Trachyte / Trachydacite;Trachybasalt / Tephrite Basanite;Basalt / Picro-Basalt;Trachyandesite / Basaltic Trachyandesite; ; ; ; ; ;NA;406;17272;113131;119653
358062;Aguilera;stratovolcano;-1250;Chile;South America;Southern Chile and Argentina;-50.33;-73.75;2546;Subduction zone / Continental crust (>25 km);Eruption Dated;Dacite; ; ; ; ; ; ; ; ;NA;0;0;103;5698
264020;Agung;stratovolcano;2019;Indonesia;Indonesia;Lesser Sunda Islands;-8.343;115.508;2997;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;5657;76781;968381;4550176
284141;Ahyi;submarine;2014;United States;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;20.42;145.03;-75;Subduction zone / Crustal thickness unknown;Eruption Dated;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ; ;NA;0;0;0;0
282080;Aira;caldera;2020;Japan;Japan, Taiwan, Marianas;Ryukyu Islands and Kyushu;31.593;130.657;1117;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite;Rhyolite; ; ; ; ; ; ;NA;4918;113874;905254;2610033
300125;Akademia Nauk;stratovolcano;1996;Russia;Kamchatka and Mainland Asia;Kamchatka Peninsula;53.98;159.45;1180;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ;Basalt / Picro-Basalt;Rhyolite; ; ;NA;3;3;615;12484
283130;Akagisan;stratovolcano;Unknown;Japan;Japan, Taiwan, Marianas;Honshu;36.56;139.193;1828;Subduction zone / Continental crust (>25 km);Evidence Uncertain;Andesite / Basaltic Andesite; ; ; ; ;Dacite; ; ; ;NA;961;4538;1116366;16718375
285070;Akan;caldera;2008;Japan;Japan, Taiwan, Marianas;Hokkaido;43.384;144.013;1499;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite;Basalt / Picro-Basalt;Rhyolite; ; ; ; ; ;NA;2062;2062;9756;929538
283230;Akita-Komagatake;stratovolcano;1971;Japan;Japan, Taiwan, Marianas;Honshu;39.761;140.799;1637;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;376;3864;216708;2521611
283260;Akita-Yakeyama;stratovolcano;1997;Japan;Japan, Taiwan, Marianas;Honshu;39.964;140.757;1366;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ;Dacite; ; ; ;NA;127;721;55493;3122037
282022;Akusekijima;stratovolcano;Unknown;Japan;Japan, Taiwan, Marianas;Ryukyu Islands and Kyushu;29.465;129.594;555;Subduction zone / Oceanic crust (< 15 km);Evidence Uncertain;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;52;52;199;749
311320;Akutan;stratovolcano;1992;United States;Alaska;Aleutian Islands;54.134;-165.986;1303;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite;Trachyandesite / Basaltic Trachyandesite; ; ;Trachyte / Trachydacite;Dacite; ; ;NA;0;24;233;4361
290390;Alaid;stratovolcano;2018;Russia;Kuril Islands;Kuril Islands;50.861;155.565;2285;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;0;64;64;2887
221112;Alayta;shield;1915;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;12.888;40.573;1496;Rift zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;Trachyte / Trachydacite;Trachyandesite / Basaltic Trachyandesite; ; ; ; ; ; ;NA;156;925;13459;330411
353040;Alcedo;shield;1993;Ecuador;South America;Galapagos Islands;-0.43;-91.12;1130;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ;Rhyolite;Dacite;Andesite / Basaltic Andesite; ;NA;290;290;388;10756
221090;Ale Bagu;stratovolcano;Unknown;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;13.512;40.631;988;Rift zone / Intermediate crust (15-25 km);Evidence Credible;Basalt / Picro-Basalt;Trachyte / Trachydacite;Rhyolite; ; ; ; ; ; ;NA;2;919;8424;278270
221040;Alid;stratovolcano;Unknown;Eritrea;Africa and Red Sea;Africa (northeastern) and Red Sea;14.88;39.92;904;Rift zone / Intermediate crust (15-25 km);Evidence Credible;Rhyolite;Basalt / Picro-Basalt;Andesite / Basaltic Andesite;Trachyandesite / Basaltic Trachyandesite;Trachyte / Trachydacite; ; ; ; ;NA;517;2447;25942;1216179
352031;Aliso;stratovolcano;-2450;Ecuador;South America;Ecuador;-0.53;-78;4267;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Rhyolite;Dacite; ; ; ; ; ; ;NA;0;0;0;0
320020;Alligator Lake;volcanicfield;Unknown;Canada;Canada and Western USA;Canada;60.42;-135.42;2217;Intraplate / Continental crust (>25 km);Evidence Credible;Basalt / Picro-Basalt;Trachybasalt / Tephrite Basanite; ; ; ; ; ; ; ;NA;0;0;47;20636
342040;Almolonga;stratovolcano;1818;Guatemala;México and Central America;Guatemala;14.797;-91.519;3173;Subduction zone / Continental crust (>25 km);Eruption Observed;Dacite;Andesite / Basaltic Andesite; ; ; ;Basalt / Picro-Basalt; ; ; ;NA;91323;287487;1126942;6828403
300450;Alney-Chashakondzha;stratovolcano;1600;Russia;Kamchatka and Mainland Asia;Kamchatka Peninsula;56.656;159.647;2570;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ;Rhyolite;Dacite; ; ;NA;0;0;3;10679
221060;Alu-Dalafilla;fissurevent;2008;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;13.793;40.553;578;Rift zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite;Trachyte / Trachydacite;Rhyolite; ; ; ; ; ;NA;0;9;11209;478054
221270;Alutu;stratovolcano;-50;Ethiopia;Africa and Red Sea;Africa (northeastern) and Red Sea;7.77;38.78;2335;Rift zone / Continental crust (>25 km);Eruption Dated;Rhyolite;Dacite;Basalt / Picro-Basalt; ; ; ; ; ; ;NA;6011;25619;314216;6813710
311390;Amak;stratovolcano;1796;United States;Alaska;Aleutian Islands;55.424;-163.149;488;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;0;0;0;1345
268072;Amasing;stratovolcano;Unknown;Indonesia;Indonesia;Halmahera;-0.53;127.48;1030;Subduction zone / Oceanic crust (< 15 km);Evidence Credible;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;59;803;26015;92417
257030;Ambae;shield;2018;Vanuatu;Melanesia and Australia;Vanuatu;-15.389;167.835;1496;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;73;1279;4326;73308
273088;Ambalatungan Group;compound;Unknown;Philippines;Philippines and SE Asia;Luzon;17.32;121.1;2329;Subduction zone / Continental crust (>25 km);Unrest / Holocene;Dacite;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;493;3803;55724;4652400
266020;Ambang;complex;2005;Indonesia;Indonesia;Sulawesi;0.75;124.42;1795;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;9155;46469;319137;1730602
254020;Ambitle;stratovolcano;-350;Papua New Guinea;Melanesia and Australia;New Ireland;-4.08;153.65;450;Subduction zone / Crustal thickness unknown;Eruption Dated;Phono-tephrite /  Tephri-phonolite;Trachybasalt / Tephrite Basanite;Trachyandesite / Basaltic Trachyandesite;Basalt / Picro-Basalt;Trachyte / Trachydacite; ; ; ; ;NA;1643;9195;9779;24367
233011;Ambre-Bobaomby;volcanicfield;Unknown;Madagascar;Middle East and Indian Ocean;Indian Ocean (western);-12.6;49.15;1475;Intraplate / Continental crust (>25 km);Evidence Credible;Basalt / Picro-Basalt;Rhyolite;Trachyte / Trachydacite;Phonolite;Foidite; ; ; ; ;NA;20396;20396;51426;408436
257040;Ambrym;pyroclasticshield;2018;Vanuatu;Melanesia and Australia;Vanuatu;-16.25;168.12;1334;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ;NA;9;186;10826;63999
234001;Amsterdam Island;stratovolcano;Unknown;France;Middle East and Indian Ocean;Indian Ocean (southern);-37.83;77.52;881;Rift zone / Oceanic crust (< 15 km);Evidence Credible;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;0;0;0;0
311190;Amukta;stratovolcano;1997;United States;Alaska;Aleutian Islands;52.5;-171.252;1066;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;0;0;0;0
284200;Anatahan;stratovolcano;2008;United States;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;16.35;145.67;790;Subduction zone / Crustal thickness unknown;Eruption Observed;Andesite / Basaltic Andesite;Dacite;Basalt / Picro-Basalt;Trachyandesite / Basaltic Trachyandesite; ; ; ; ; ;NA;0;0;0;0
300390;Anaun;stratovolcano;Unknown;Russia;Kamchatka and Mainland Asia;Kamchatka Peninsula;56.32;158.83;1828;Subduction zone / Continental crust (>25 km);Evidence Uncertain;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;2;4;56;5933
354004;Andahua-Orcopampa;pyroclasticcone;1490;Peru;South America;Peru;-15.42;-72.33;4713;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachyandesite / Basaltic Trachyandesite; ; ; ; ;Trachyte / Trachydacite; ; ; ;NA;10317;10317;16541;171897
390023;Andrus;shield;Unknown;Antarctica;Antarctica;Antarctica and South Sandwich Islands;-75.8;-132.33;2978;Intraplate / Continental crust (>25 km);Evidence Uncertain;Trachyte / Trachydacite;Rhyolite;Trachyandesite / Basaltic Trachyandesite; ; ; ; ; ; ;NA;0;0;0;0
257110;Aneityum;stratovolcano;Unknown;Vanuatu;Melanesia and Australia;Vanuatu;-20.2;169.78;852;Subduction zone / Intermediate crust (15-25 km);Evidence Uncertain;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;176;692;703;22731
312090;Aniakchak;caldera;1931;United States;Alaska;Alaska Peninsula;56.88;-158.17;1341;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ;Basalt / Picro-Basalt;Trachyte / Trachydacite;Trachyandesite / Basaltic Trachyandesite; ;NA;0;0;36;479
357153;Antillanca Volcanic Complex;stratovolcano;-230;Chile;South America;Central Chile and Argentina;-40.783;-72.15;1979;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;87;521;5986;530586
352030;Antisana;stratovolcano;1802;Ecuador;South America;Ecuador;-0.481;-78.141;5753;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;232;2220;56154;3314142
355180;Antofagasta Volcanic Field;pyroclasticcone;Unknown;Argentina;South America;Northern Chile, Bolivia and Argentina;-26.12;-67.4;3495;Subduction zone / Continental crust (>25 km);Evidence Uncertain;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;188;188;257;4295
357080;Antuco;stratovolcano;1869;Chile;South America;Central Chile and Argentina;-37.406;-71.349;2979;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;117;474;3872;381623
284060;Aogashima;stratovolcano;1785;Japan;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;32.458;139.759;423;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;232;232;232;8559
358024;Apagado;pyroclasticcone;-590;Chile;South America;Southern Chile and Argentina;-41.88;-72.58;1210;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;5;44;4474;354002
343010;Apaneca Range;stratovolcano;Unknown;El Salvador;México and Central America;El Salvador and Honduras;13.891;-89.786;2036;Subduction zone / Continental crust (>25 km);Evidence Credible;Basalt / Picro-Basalt;Andesite / Basaltic Andesite;Trachyandesite / Basaltic Trachyandesite;Dacite;Rhyolite; ; ; ; ;NA;11141;151502;1113282;6215853
343071;Apastepeque Field;volcanicfield;Unknown;El Salvador;México and Central America;El Salvador and Honduras;13.72;-88.77;700;Subduction zone / Continental crust (>25 km);Evidence Credible;Dacite;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ;NA;377730;377730;687849;6372608
271030;Apo;stratovolcano;Unknown;Philippines;Philippines and SE Asia;Mindanao;6.989;125.269;2938;Subduction zone / Continental crust (>25 km);Unrest / Holocene;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;1355;5431;767800;7768291
344091;Apoyeque;pyroclasticshield;-50;Nicaragua;México and Central America;Nicaragua;12.242;-86.342;518;Subduction zone / Continental crust (>25 km);Eruption Dated;Dacite;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ;NA;2369;116718;1342581;3445854
355160;Aracar;stratovolcano;Unknown;Argentina;South America;Northern Chile, Bolivia and Argentina;-24.29;-67.783;6095;Subduction zone / Continental crust (>25 km);Evidence Credible;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;0;0;94;4803
214060;Aragats;stratovolcano;Unknown;Armenia;Mediterranean and Western Asia;Western Asia;40.53;44.2;4095;Intraplate / Continental crust (>25 km);Evidence Credible;Andesite / Basaltic Andesite;Basalt / Picro-Basalt;Dacite;Rhyolite; ; ; ; ; ;NA;0;163;150143;3046562
213040;Ararat;stratovolcano;1840;Turkey;Mediterranean and Western Asia;Turkey;39.7;44.3;5165;Intraplate / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite;Basalt / Picro-Basalt;Trachybasalt / Tephrite Basanite;Rhyolite; ; ; ; ;NA;25;1239;135563;2811646
273084;Arayat;stratovolcano;Unknown;Philippines;Philippines and SE Asia;Luzon;15.2;120.742;1026;Subduction zone / Continental crust (>25 km);Evidence Uncertain;Basalt / Picro-Basalt;Trachyandesite / Basaltic Trachyandesite; ; ; ;Trachybasalt / Tephrite Basanite;Andesite / Basaltic Andesite; ; ;NA;7846;190674;2805269;27216491
221126;Ardoukoba;fissurevent;1978;Djibouti;Africa and Red Sea;Africa (northeastern) and Red Sea;11.58;42.47;298;Rift zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;Trachybasalt / Tephrite Basanite;Rhyolite; ; ; ; ; ; ;NA;2895;2895;6898;560146
345033;Arenal;stratovolcano;2010;Costa Rica;México and Central America;Costa Rica;10.463;-84.703;1670;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ;Dacite; ; ; ;NA;3429;15643;96512;3027485
231090;Arhab, Harra of;volcanicfield;500;Yemen;Middle East and Indian Ocean;Middle East (southern);15.63;44.08;3100;Intraplate / Continental crust (>25 km);Eruption Observed;Trachybasalt / Tephrite Basanite;Basalt / Picro-Basalt; ; ; ;Trachyandesite / Basaltic Trachyandesite; ; ; ;NA;284443;284443;820695;6517834
263290;Arjuno-Welirang;stratovolcano;1952;Indonesia;Indonesia;Java;-7.733;112.575;3339;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ; ;NA;2584;53983;4143137;25385433
305011;Arxan-Chaihe;pyroclasticcone;0;China;Kamchatka and Mainland Asia;China (eastern);47.45;120.8;1677;Intraplate / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;6435;6435;6435;188163
300058;Asacha;complex;Unknown;Russia;Kamchatka and Mainland Asia;Kamchatka Peninsula;52.355;157.827;1910;Subduction zone / Continental crust (>25 km);Evidence Credible;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ;Dacite;Rhyolite; ; ;NA;0;0;34;238467
283110;Asamayama;complex;2019;Japan;Japan, Taiwan, Marianas;Honshu;36.406;138.523;2568;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;583;22371;457576;7629353
385050;Ascension;stratovolcano;1508;United Kingdom;Atlantic Ocean;Atlantic Ocean (central);-7.95;-14.37;858;Rift zone / Oceanic crust (< 15 km);Eruption Dated;Basalt / Picro-Basalt;Trachybasalt / Tephrite Basanite;Trachyandesite / Basaltic Trachyandesite;Trachyte / Trachydacite;Rhyolite; ; ; ; ;NA;614;1149;1149;1149
373060;Askja;stratovolcano;1961;Iceland;Iceland and Arctic Ocean;Iceland (northeastern);65.033;-16.783;1080;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ;Rhyolite; ; ; ;NA;0;0;0;13028
282110;Asosan;caldera;2020;Japan;Japan, Taiwan, Marianas;Ryukyu Islands and Kyushu;32.884;131.104;1592;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite;Rhyolite;Basalt / Picro-Basalt; ; ; ; ; ;NA;75559;75559;234591;6507519
221125;Assab Volcanic Field;volcanicfield;Unknown;Eritrea;Africa and Red Sea;Africa (northeastern) and Red Sea;12.95;42.43;987;Rift zone / Intermediate crust (15-25 km);Evidence Credible;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;9;9;97;181952
284150;Asuncion;stratovolcano;1906;United States;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;19.671;145.406;857;Subduction zone / Crustal thickness unknown;Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;0;0;0;0
282070;Ata;caldera;885;Japan;Japan, Taiwan, Marianas;Ryukyu Islands and Kyushu;31.22;130.57;924;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Rhyolite;Dacite;Basalt / Picro-Basalt; ; ; ; ; ;NA;93134;93134;171590;1891380
352021;Atacazo;stratovolcano;-320;Ecuador;South America;Ecuador;-0.353;-78.617;4463;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;449;212988;1837303;3769593
311160;Atka;stratovolcano;1812;United States;Alaska;Aleutian Islands;52.331;-174.139;1448;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;Dacite;Andesite / Basaltic Andesite; ; ; ; ; ; ;NA;0;0;207;207
320030;Atlin Volcanic Field;pyroclasticcone;Unknown;Canada;Canada and Western USA;Canada;59.68;-133.32;1880;Intraplate / Continental crust (>25 km);Evidence Credible;Trachybasalt / Tephrite Basanite;Basalt / Picro-Basalt; ; ; ;Foidite; ; ; ;NA;0;0;94;956
357023;Atuel, Caldera del;caldera;Unknown;Argentina;South America;Central Chile and Argentina;-34.65;-70.05;5189;Subduction zone / Continental crust (>25 km);Evidence Credible;Andesite / Basaltic Andesite;Dacite;Basalt / Picro-Basalt; ; ; ; ; ; ;NA;297;297;1003;676916
241020;Auckland Volcanic Field;volcanicfield;1350;New Zealand;New Zealand to Fiji;New Zealand;-36.9;174.87;260;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;Basalt / Picro-Basalt;Foidite; ; ; ; ; ; ;NA;1049110;1049110;1222436;1446768
313010;Augustine;lavadome;2006;United States;Alaska;Alaska (southwestern);59.363;-153.43;1252;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ;Rhyolite;Basalt / Picro-Basalt;Trachyandesite / Basaltic Trachyandesite; ;NA;0;0;0;759
300100;Avachinsky;stratovolcano;2001;Russia;Kamchatka and Mainland Asia;Kamchatka Peninsula;53.256;158.836;2717;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ;Dacite; ; ; ;NA;0;0;180016;270205
331021;Axial Seamount;submarine;2015;Undersea Features;Hawaii and Pacific Ocean;Pacific Ocean (northern);45.95;-130;-1410;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;0;0;0;0
302070;Azas Plateau;volcanicfield;Unknown;Russia;Kamchatka and Mainland Asia;Russia (southeastern);52.433;98.303;2765;Rift zone / Continental crust (>25 km);Evidence Credible;Trachybasalt / Tephrite Basanite;Phono-tephrite /  Tephri-phonolite; ; ; ;Basalt / Picro-Basalt; ; ; ;NA;142;142;142;4532
355061;Azufre, Cerro del;stratovolcano;Unknown;Chile;South America;Northern Chile, Bolivia and Argentina;-21.787;-68.237;5846;Subduction zone / Continental crust (>25 km);Evidence Uncertain;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;0;58;1143;55567
353060;Azul, Cerro;shield;2008;Ecuador;South America;Galapagos Islands;-0.92;-91.408;1640;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;220;220;314;1936
357060;Azul, Cerro;stratovolcano;1967;Chile;South America;Central Chile and Argentina;-35.653;-70.761;3788;Subduction zone / Continental crust (>25 km);Eruption Observed;Dacite;Andesite / Basaltic Andesite; ; ; ;Basalt / Picro-Basalt; ; ; ;NA;9;158;3832;720948
283180;Azumayama;stratovolcano;1977;Japan;Japan, Taiwan, Marianas;Honshu;37.735;140.244;1949;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ; ;NA;128;907;548195;4877648
274030;Babuyan Claro;stratovolcano;1924;Philippines;Philippines and SE Asia;North of Luzon;19.523;121.94;1080;Subduction zone / Crustal thickness unknown;Eruption Observed;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ; ;NA;208;222;222;11819
322090;Bachelor;stratovolcano;-5800;United States;Canada and Western USA;USA (Oregon);43.979;-121.688;2763;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ; ;NA;18;24;22514;231420
255020;Bagana;lavacone;2020;Papua New Guinea;Melanesia and Australia;Bougainville and Solomon Islands;-6.137;155.196;1855;Subduction zone / Crustal thickness unknown;Eruption Observed;Andesite / Basaltic Andesite; ; ; ; ; ; ; ; ;NA;198;404;7861;115257
300123;Bakening;stratovolcano;-550;Russia;Kamchatka and Mainland Asia;Kamchatka Peninsula;53.905;158.07;2278;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Dacite;Basalt / Picro-Basalt;Rhyolite; ; ; ; ; ;NA;0;10;1583;87139
321010;Baker;stratovolcano;1880;United States;Canada and Western USA;USA (Washington);48.777;-121.813;3285;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ;Basalt / Picro-Basalt; ; ; ;NA;0;46;8568;1990504
231170;Bal Haf, Harra of;volcanicfield;Unknown;Yemen;Middle East and Indian Ocean;Middle East (southern);14.067;48.3;604;Intraplate / Continental crust (>25 km);Evidence Credible;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;5690;5690;6643;177124
250020;Baluan;stratovolcano;Unknown;Papua New Guinea;Melanesia and Australia;Admiralty Islands;-2.57;147.28;254;Subduction zone / Continental crust (>25 km);Evidence Uncertain;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;242;248;982;46898
271010;Balut;stratovolcano;Unknown;Philippines;Philippines and SE Asia;Mindanao;5.4;125.375;862;Subduction zone / Continental crust (>25 km);Unrest / Holocene;Andesite / Basaltic Andesite;Basalt / Picro-Basalt; ; ; ; ; ; ; ;NA;1472;1901;10763;1286239
